ID No.	Nickname	Ref. No	PCE_max(%)	PCE_ave(%)	Voc (V)	Jsc (mA cm^2)	FF	Mw (kg mol^-1)	Mn (kg mol^-1)	PDI (=Mw/Mn)	Monomer (g mol^-1)	-HOMO (eV)	-LUMO (eV)	bandgap(eV)	SMILES
1	PBTTT-C14	S1	2.34 	2.34 	0.530 	9.370 	0.480 	46.2 	22.0 	2.10 	724	5.10 	3.10 	1.88 	CC1=CC(CCCCCCCCCCCCCC)=C(C2=CC3=C(S2)C=C(C4=C(CCCCCCCCCCCCCC)C=C(C)S4)S3)S1
2	PCDTBT	S2	3.60 	3.60 	0.890 	6.920 	0.630 	73.0 	37.0 	1.97 	731	5.50 	3.60 	1.88 	CC1=CC(N(C(CCCCCCCC)CCCCCCCC)C2=C3C=CC(C4=CC=C(C5=CC=C(C6=CC=C(C)S6)C7=NSN=C57)S4)=C2)=C3C=C1
3	PCPDTBT	S3	5.12 	5.12 	0.610 	15.730 	0.530 	47.6 	26.6 	1.79 	564	5.30 	3.55 	1.43 	CC1=CC(C(CC(CCCC)CC)(CC(CCCC)CC)C2=C3SC(C4=CC=C(C)C5=NSN=C45)=C2)=C3S1
4	PffBT4T-2OD	S4	10.50 	10.20 	0.770 	18.400 	0.740 	93.7 	47.5 	1.97 	1089	5.34 	3.69 	1.65 	CC1=C(CC(CCCCCCCC)CCCCCCCCCC)C=C(C2=C(F)C(F)=C(C3=CC(CC(CCCCCCCCCC)CCCCCCCC)=C(C4=CC=C(C5=CC=C(C)S5)S4)S3)C6=NSN=C62)S1
5	PffBT4T-2OD	S4	10.40 	10.00 	0.770 	18.200 	0.740 	52.9 	28.2 	1.88 	1089	5.20 	3.57 	1.63 	CC1=C(CC(CCCCCCCC)CCCCCCCCCC)C=C(C2=CC=C(C3=CC(CC(CCCCCCCC)CCCCCCCCCC)=C(C4=CC(F)=C(C5=C(F)C=C(C)S5)S4)S3)C6=NSN=C62)S1
6	PffBT4T-2OD	S4	9.00 	9.00 	0.760 	17.900 	0.650 	71.7 	38.9 	1.84 	1089	5.34 	3.69 	1.65 	CC1=C(CC(CCCCCCCC)CCCCCCCCCC)C=C(C2=C(F)C(F)=C(C3=CC(CC(CCCCCCCCCC)CCCCCCCC)=C(C4=CC=C(C5=CC=C(C)S5)S4)S3)C6=NSN=C62)S1
7	PffBT4T-2OD	S4	7.70 	7.70 	0.720 	16.700 	0.630 	29.5 	16.6 	1.78 	1089	5.34 	3.69 	1.65 	CC1=C(CC(CCCCCCCC)CCCCCCCCCC)C=C(C2=C(F)C(F)=C(C3=CC(CC(CCCCCCCCCC)CCCCCCCC)=C(C4=CC=C(C5=CC=C(C)S5)S4)S3)C6=NSN=C62)S1
8	PNTz4T-2OD	S4	10.10 	9.70 	0.760 	19.800 	0.680 	49.9 	30.2 	1.65 	1161	5.24 	3.71 	1.53 	CC1=C(C[C@@H](CCCCCCCC)CCCCCCCCCC)C=C(C2=CC(C3=NSN=C3C(C4=CC(CC(CCCCCCCC)CCCCCCCCCC)=C(C5=CC=C(C6=CC=C(C)S6)S5)S4)=C7)=C7C8=NSN=C82)S1
9	PBDTTT-CF	S5	7.73 	7.40 	0.760 	15.200 	0.669 	68.0 	-	-	756	5.22 	3.45 	1.65 	O=C(CCCCCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(OCC(CCCC)CC)C(SC(C)=C5)=C5C(OCC(CCCC)CC)=C4S3)=C2S1
10	PSBTBT	S6	5.10 	4.70 	0.680 	12.700 	0.550 	21.6 	18.0 	1.20 	580	5.05 	3.27 	1.45 	CC1=CC([Si](CC(CCCC)CC)(CC(CC)CCCC)C2=C3SC(C4=CC=C(C)C5=NSN=C45)=C2)=C3S1
11	PNTz4T	S7	10.10 	9.77 	0.710 	19.400 	0.734 	126.2 	52.6 	2.40 	1273	5.14 	3.46 	1.56 	CC1=CC=C(C2=C(CC(CCCCCCCCCC)CCCCCCCCCCCC)C=C(C3=CC(C4=NSN=C4C(C5=CC(CC(CCCCCCCCCCCC)CCCCCCCCCC)=C(C6=CC=C(C)S6)S5)=C7)=C7C8=NSN=C83)S2)S1
12	PSEHTT	S8	5.62 	5.52 	0.670 	13.180 	0.640 	132.2 	33.9 	3.90 	974	5.10 	3.30 	1.77 	CC1=CC(CC(CC)CCCC)=C(C2=NC(SC(C3=C(CC(CCCC)CC)C=C(C4=CC([Si](CC(CC)CCCC)(CC(CCCC)CC)C5=C6SC(C)=C5)=C6S4)S3)=N7)=C7S2)S1
13	PNOz4T	S9	8.90 	8.50 	0.960 	14.500 	0.640 	417.0 	57.2 	7.28 	1241	5.48 	3.65 	1.52 	CC1=CC=C(C2=C(CC(CCCCCCCCCC)CCCCCCCCCCCC)C=C(C3=CC(C4=NON=C4C(C5=CC(CC(CCCCCCCCCCCC)CCCCCCCCCC)=C(C6=CC=C(C)S6)S5)=C7)=C7C8=NON=C83)S2)S1
14	P3HT	S10	4.40 	4.40 	0.510 	15.000 	0.575 	21.1 	1.2 	1.82 	196	5.20 	3.27 	1.93 	CC1=CC(CCCCCC)=C(C)S1
15	PQT-12	S11	1.15 	1.15 	0.610 	4.310 	0.440 	11.2 	9.5 	1.18 	694	5.10 	3.10 	1.93 	CC1=CC(CCCCCCCCCCCC)=C(C2=CC=C(C3=CC=C(C4=C(CCCCCCCCCCCC)C=C(C)S4)S3)S2)S1
16	PQT-12	S11	0.83 	0.83 	0.540 	4.300 	0.360 	47.0 	39.0 	1.21 	694	5.10 	3.10 	1.93 	CC1=CC(CCCCCCCCCCCC)=C(C2=CC=C(C3=CC=C(C4=C(CCCCCCCCCCCC)C=C(C)S4)S3)S2)S1
17	PTB7-Th	S12	7.64 	7.64 	0.790 	14.020 	0.691 	124.0 	72.9 	1.70 	918	5.22 	3.64 	1.58 	O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1
18	PTB7-Th	S12	7.02 	7.02 	0.790 	13.020 	0.690 	78.0 	24.0 	2.60 	918	5.22 	3.64 	1.58 	O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1
19	PTB7-Th	S12	5.90 	5.90 	0.770 	12.160 	0.630 	249.0 	40.0 	3.70 	918	5.22 	3.64 	1.58 	O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1
20	PTB7-Th	S12	5.35 	5.35 	0.770 	11.630 	0.600 	375.0 	48.0 	4.70 	918	5.22 	3.64 	1.58 	O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1
21	PTB7	S13	7.40 	7.40 	0.740 	14.500 	0.690 	97.5 	46.4 	2.10 	786	5.15 	3.31 	1.72 	CC1=C(C(F)=C(C(OCC(CC)CCCC)=O)S2)C2=C(C3=CC4=C(OCC(CCCC)CC)C(SC(C)=C5)=C5C(OCC(CCCC)CC)=C4S3)S1
22	PPDTBT	S14	5.08 	4.89 	0.810 	10.400 	0.610 	42.7 	17.8 	2.40 	885	5.29 	3.57 	1.72 	CC(S1)=CC=C1C2=C(OCC(CCCCCC)CCCCCCCC)C=C(C3=CC=C(C4=CC=C(C)C5=NSN=C45)S3)C(OCC(CCCCCCCC)CCCCCC)=C2
23	PPDTFBT	S14	5.11 	5.02 	0.810 	10.200 	0.620 	71.5 	29.8 	2.40 	903	5.35 	3.63 	1.72 	CC(S1)=CC=C1C2=C(OCC(CCCCCC)CCCCCCCC)C=C(C3=CC=C(C4=C(F)C=C(C)C5=NSN=C45)S3)C(OCC(CCCCCCCC)CCCCCC)=C2
24	PPDT2FBT	S14	7.26 	7.06 	0.860 	11.400 	0.740 	119.3 	42.6 	2.80 	921	5.45 	3.69 	1.76 	CC(S1)=CC=C1C2=C(OCC(CCCCCC)CCCCCCCC)C=C(C3=CC=C(C4=C(F)C(F)=C(C)C5=NSN=C45)S3)C(OCC(CCCCCCCC)CCCCCC)=C2
25	PCz	S15	0.07 	0.07 	0.710 	0.260 	0.370 	75.5 	39.1 	1.93 	531	5.60 	3.60 	2.00 	CC1=CC(N(CC(CCCCCCCCCCCC)CCCCCCCCCC)C2=C3C=CC(C)=C2)=C3C=C1
26	PCV	S16	0.40 	0.40 	0.850 	0.889 	0.464 	3.9 	2.8 	1.40 	425	5.61 	2.83 	2.30 	CC1=CC(N(C2=CC=C(OCCCCCCCC)C=C2)C3=C4C=CC(/C=C/C)=C3)=C4C=C1
27	PCVT	S16	0.40 	0.40 	0.700 	1.076 	0.445 	5.7 	4.1 	1.40 	533	5.52 	2.92 	2.20 	C/C=C/C1=CC(N(C2=CC=C(OCCCCCCCC)C=C2)C3=C4C=CC(/C=C/C5=CC=C(C)S5)=C3)=C4C=C1
28	PCVTT	S16	0.30 	0.30 	0.550 	0.859 	0.484 	7.8 	3.7 	2.10 	840	5.49 	3.02 	2.10 	C/C=C/C1=CC(N(C2=CC=C(OCCCCCCCC)C=C2)C3=C4C=CC(/C=C/C5=C(CCCCCCCC)C=C(C6=CC(CCCCCCCC)=C(C)S6)S5)=C3)=C4C=C1
29	PCVTTTT	S16	0.20 	0.20 	0.500 	0.761 	0.432 	8.2 	4.3 	1.90 	1003	5.40 	2.96 	2.00 	C/C=C/C1=CC(N(C2=CC=C(OCCCCCCCC)C=C2)C3=C4C=CC(/C=C/C5=C(CCCCCCCC)C=C(C6=CC=C(C7=CC=C(C8=CC(CCCCCCCC)=C(C)S8)S7)S6)S5)=C3)=C4C=C1
30	PCPTDO	S16	0.80 	0.80 	0.800 	1.558 	0.546 	4.3 	3.3 	1.30 	1061	5.50 	3.50 	1.70 	C/C=C/C1=CC(N(C2=CC=C(OCCCCCCCC)C=C2)C3=C4C=CC(/C=C/C5=CC=C(C6=CC=C(C7=C(CCCCCC)C(CCCCCC)=C(C8=CC=C(C9=CC=C(C)S9)S8)S7(=O)=O)S6)S5)=C3)=C4C=C1
31	PCDTBT	S17	6.10 	6.10 	0.880 	10.600 	0.660 	54.0 	36.0 	1.50 	731	5.50 	3.60 	1.88 	CC1=CC(N(C(CCCCCCCC)CCCCCCCC)C2=C3C=CC(C4=CC=C(C5=CC=C(C6=CC=C(C)S6)C7=NSN=C75)S4)=C2)=C3C=C1
32	PCDTQx	S18	1.80 	1.80 	0.950 	3.000 	0.560 	13.8 	9.0 	1.53 	715	5.46 	3.42 	2.02 	CC1=CC(N(C(CCCCCCCC)CCCCCCCC)C2=C3C=CC(C4=CC=C(C5=CC=C(C6=CC=C(C)S6)C7=NON=C75)S4)=C2)=C3C=C1
33	PCDTTPP	S18	1.10 	1.10 	0.900 	2.600 	0.440 	18.7 	11.0 	1.70 	726	5.52 	3.67 	1.89 	CC1=CC(N(C(CCCCCCCC)CCCCCCCC)C2=C3C=CC(C4=CC=C(C5=CN=C(C6=CC=C(C)S6)C7=NC=CN=C75)S4)=C2)=C3C=C1
34	PCDTPT	S18	0.70 	0.70 	0.710 	2.900 	0.320 	6.2 	4.0 	1.54 	732	5.53 	3.80 	1.75 	CC1=CC(N(C(CCCCCCCC)CCCCCCCC)C2=C3C=CC(C4=CC=C(C5=CN=C(C6=CC=C(C)S6)C7=NSN=C75)S4)=C2)=C3C=C1
35	PCDTBX	S18	2.40 	2.40 	0.960 	3.700 	0.600 	51.2 	26.0 	1.97 	725	5.47 	3.65 	1.87 	CC1=CC(N(C(CCCCCCCC)CCCCCCCC)C2=C3C=CC(C4=CC=C(C5=CC=C(C6=CC=C(C)S6)C7=NC=CN=C75)S4)=C2)=C3C=C1
36	PCDTPX	S18	0.80 	0.80 	0.850 	1.400 	0.600 	6.0 	4.5 	1.33 	716	5.55 	3.93 	1.67 	CC1=CC(N(C(CCCCCCCC)CCCCCCCC)C2=C3C=CC(C4=CC=C(C5=CN=C(C6=CC=C(C)S6)C7=NON=C75)S4)=C2)=C3C=C1
37	P1	S19	0.47 	0.47 	0.820 	1.520 	0.380 	9.5 	4.8 	1.90 	717	5.70 	4.15 	1.57 	CC1=CC(N(C(CCCCCCCC)CCCCCCCC)C2=C3C=CC(C4=CC=C(C5=NN=C(C6=CC=C(C)S6)C7=NON=C75)S4)=C2)=C3C=C1
38	P2	S19	0.13 	0.13 	0.660 	0.550 	0.350 	8.9 	3.5 	2.50 	727	5.73 	3.88 	1.91 	CC1=CC(N(C(CCCCCCCC)CCCCCCCC)C2=C3C=CC(C4=CC=C(C5=NN=C(C6=CC=C(C)S6)C7=NC=CN=C75)S4)=C2)=C3C=C1
39	P3	S19	0.37 	0.37 	0.910 	0.860 	0.440 	8.1 	4.4 	1.80 	952	5.76 	3.99 	1.79 	CC1=CC(N(C(CCCCCCCC)CCCCCCCC)C2=C3C=CC(C4=CC=C(C5=NN=C(C6=CC=C(C)S6)C7=NC(CCCCCCCC)=C(CCCCCCCC)N=C75)S4)=C2)=C3C=C1
40	PC-DTBT	S20	3.05 	3.05 	0.800 	7.660 	0.500 	24.8 	16.5 	1.50 	787	5.48 	3.46 	1.72 	CC1=CC(N(C(CCCCCCCCCC)CCCCCCCCCC)C2=C3C=CC(C4=CC=C(C5=CC=C(C6=CC=C(C)S6)C7=NSN=C75)S4)=C2)=C3C=C1
41	TP3	S20	1.02 	1.02 	0.560 	4.410 	0.410 	10.6 	6.6 	1.60 	815	5.24 	3.45 	1.57 	CC1=CC(N(C(CCCCCCCCCC)CCCCCCCCCC)C2=C3C=CC(C4=CC=C(C5=C6C(N=C(C)C(C)=N6)=C(C7=CC=C(C)S7)S5)S4)=C2)=C3C=C1
42	TP4	S20	0.90 	0.90 	0.620 	3.940 	0.370 	14.0 	7.8 	1.80 	939	5.23 	3.55 	1.46 	CC1=CC(N(C(CCCCCCCCCC)CCCCCCCCCC)C2=C3C=CC(C4=CC=C(C5=C6C(N=C(C7=CC=CC=C7)C(C8=CC=CC=C8)=N6)=C(C9=CC=C(C)S9)S5)S4)=C2)=C3C=C1
43	PF-DTBT	S20	2.67 	2.67 	1.020 	5.120 	0.510 	15.8 	11.3 	1.40 	716	5.56 	3.47 	1.85 	CC1=CC=C(C2=CC=C(C3=CC=C(C4=CC=C(C5=CC=C(C)S5)C6=NSN=C64)S3)C=C2C7(CC(CC)CCCC)CC(CC)CCCC)C7=C1
44	TP1	S20	1.37 	1.37 	0.600 	3.970 	0.570 	5.7 	4.2 	1.40 	744	5.26 	3.45 	1.61 	CC1=CC=C(C2=CC=C(C3=CC=C(C4=C(N=C(C)C(C)=N5)C5=C(C6=CC=C(C)S6)S4)S3)C=C2C7(CC(CC)CCCC)CC(CC)CCCC)C7=C1
45	TP2	S20	0.89 	0.89 	0.640 	4.070 	0.340 	11.7 	5.8 	2.00 	868	5.27 	3.53 	1.55 	CC1=CC=C(C2=CC=C(C3=CC=C(C4=C(N=C(C5=CC=CC=C5)C(C6=CC=CC=C6)=N7)C7=C(C8=CC=C(C)S8)S4)S3)C=C2C9(CC(CC)CCCC)CC(CC)CCCC)C9=C1
46	PIC-DTBT	S20	1.47 	1.47 	0.940 	3.770 	0.410 	33.9 	17.5 	1.90 	1171	5.45 	3.55 	1.91 	CC1=CC=C(C2=CC(N(C(CCCCCCCCCC)CCCCCCCCCC)C3=CC(C4=CC=C(C5=CC=C(C6=CC=C(C)S6)C7=NSN=C75)S4)=CC=C38)=C8C=C2N9C(CCCCCCCCCC)CCCCCCCCCC)C9=C1
47	TP5	S20	0.84 	0.84 	0.680 	2.550 	0.490 	20.9 	12.3 	1.70 	1199	5.30 	3.47 	1.65 	CC1=CC=C(C2=CC(N(C(CCCCCCCCCC)CCCCCCCCCC)C3=CC(C4=CC=C(C5=C(N=C(C)C(C)=N6)C6=C(C7=CC=C(C)S7)S5)S4)=CC=C38)=C8C=C2N9C(CCCCCCCCCC)CCCCCCCCCC)C9=C1
48	TP6	S20	1.27 	1.27 	0.700 	3.940 	0.460 	26.4 	14.4 	1.80 	1323	5.32 	3.59 	1.51 	CC1=CC=C(C2=CC(N(C(CCCCCCCCCC)CCCCCCCCCC)C3=CC(C4=CC=C(C5=C(N=C(C6=CC=CC=C6)C(C7=CC=CC=C7)=N8)C8=C(C9=CC=C(C)S9)S5)S4)=CC=C3%10)=C%10C=C2N%11C(CCCCCCCCCC)CCCCCCCCCC)C%11=C1
49	P3	S21	0.61 	0.61 	0.410 	5.160 	0.290 	5.1 	3.3 	1.55 	1309	4.80 	3.70 	1.10 	CC1=CC(N(C2=CC=C(N(C3=CC=C(OCC(CCCCCC)CCCC)C=C3)C4=CC=C(OCC(CCCCCC)CCCC)C=C4)C=C2)C5=C6C=CC(C7=CC=C(C8=C(N=C(C9=CC=CC=C9)C(C%10=CC=CC=C%10)=N%11)C%11=C(C%12=CC=C(C)S%12)C%13=NSN=C%138)S7)=C5)=C6C=C1
50	PDPP3T	S22	4.70 	4.70 	0.650 	11.800 	0.600 	170.1 	54.0 	3.15 	859	5.17 	3.61 	1.30 	O=C1N(CC(CCCCCC)CCCCCCCC)C(C2=CC=C(C)S2)=C3C1=C(C4=CC=C(C5=CC=C(C)S5)S4)N(CC(CCCCCCCC)CCCCCC)C3=O
51	PCBTDPP	S23	3.20 	3.20 	0.800 	8.600 	0.470 	63.0 	30.0 	2.10 	956	5.40 	3.90 	1.57 	O=C1N(CCCCCCCC)C(C2=CC=C(C)S2)=C3C1=C(C4=CC=C(C(C=C5)=CC6=C5C7=CC=C(C)C=C7N6C(CCCCCCCC)CCCCCCCC)S4)N(CCCCCCCC)C3=O
52	PCBTDPP	S24	3.80 	3.80 	0.770 	9.100 	0.550 	56.7 	27.0 	2.10 	1068	5.40 	3.90 	1.58 	O=C1N(CCCCCCCCCC)C(C2=CC=C(C)S2)=C3C1=C(C4=CC=C(C(C=C5)=CC6=C5C7=CC=C(C)C=C7N6C(CCCCCCCCCC)CCCCCCCCCC)S4)N(CCCCCCCCCC)C3=O
53	PGFDTDPP (C4)	S25	1.50 	1.50 	0.760 	4.100 	0.620 	37.0 	13.0 	2.80 	890	5.38 	3.70 	1.63 	O=C1N(CCCCCCCC)C(C2=CC=C(C3=CC=C([Ge](CCCC)(CCCC)C4=C5C=CC(C)=C4)C5=C3)S2)=C6C1=C(C7=CC=C(C)S7)N(CCCCCCCC)C6=O
54	PGFDTDPP (C8)	S25	1.20 	1.20 	0.760 	2.800 	0.560 	49.0 	14.0 	3.50 	1003	5.38 	3.64 	1.64 	CC1=CC([Ge](CCCCCCCC)(CCCCCCCC)C2=C3C=CC(C4=CC=C(C(N(CCCCCCCC)C5=O)=C6C5=C(C7=CC=C(C)S7)N(CCCCCCCC)C6=O)S4)=C2)=C3C=C1
55	PGFDTBT	S25	2.80 	2.80 	0.790 	6.900 	0.510 	24.0 	10.0 	2.40 	778	5.38 	3.91 	1.79 	CC1=CC([Ge](CCCCCCCC)(CCCCCCCC)C2=C3C=C(C4=CC=C(C5=CC=C(C6=CC=C(C)S6)C7=NSN=C75)S4)C=C2)=C3C=C1
56	PC-DTDPP	S26	2.26 	2.26 	0.760 	5.350 	0.560 	161.6 	91.3 	1.77 	1012	5.42 	3.64 	1.63 	O=C1N(CC(CC)CCCC)C(C2=CC=C(C3=CC=C4C(N(C(CCCCCCCCCC)CCCCCCCCCC)C5=C4C=CC(C)=C5)=C3)S2)=C6C1=C(C7=CC=C(C)S7)N(CC(CC)CCCC)C6=O
57	PF-DTDPP	S26	0.88 	0.88 	0.740 	2.510 	0.470 	27.1 	15.3 	1.77 	941	5.35 	3.66 	1.75 	O=C1N(CCCCCCCC)C(C2=CC=C(C)S2)=C3C1=C(C4=CC=C(C5=CC=C6C(C(CCCCCCCC)(CCCCCCCC)C7=C6C=CC(C)=C7)=C5)S4)N(CCCCCCCC)C3=O
58	PDTP-DTDPP	S26	1.12 	1.12 	0.440 	4.470 	0.570 	14.5 	8.5 	1.70 	968	5.02 	3.64 	1.13 	O=C1N(C[C@@H](CCCC)CC)C(C2=CC=C(C)S2)=C3C1=C(C4=CC=C(C5=CC(N(C(C[C@@H](CCCC)CC)CC(CCCC)CC)C6=C7SC(C)=C6)=C7S5)S4)N(C[C@H](CC)CCCC)C3=O
59	PDTP-DTDPP(Bu)	S27	2.71 	2.71 	0.380 	14.870 	0.480 	38.6 	18.9 	2.04 	855	4.90 	3.63 	1.13 	O=C1N(CCCC)C(C2=CC=C(C)S2)=C3C1=C(C4=CC=C(C5=CC(N(C(C[C@@H](CCCC)CC)CC(CCCC)CC)C6=C7SC(C)=C6)=C7S5)S4)N(CCCC)C3=O
60	PDPP-DTS	S28	2.10 	2.10 	0.550 	7.500 	0.508 	31.1 	11.1 	2.80 	968	5.04 	3.47 	1.29 	O=C1N(CC(CC)CCCC)C(C2=CC=C(C)S2)=C3C1=C(C4=CC=C(C5=CC([Si](CC(CC)CCCC)(CC(CCCC)CC)C6=C7SC(C)=C6)=C7S5)S4)N(CC(CCCC)CC)C3=O
61	PDPP-BDT	S28	2.53 	2.53 	0.680 	8.400 	0.443 	20.4 	8.5 	2.40 	997	5.16 	3.51 	1.31 	O=C1N(CC(CC)CCCC)C(C2=CC=C(C)S2)=C3C1=C(C4=CC=C(C5=CC6=C(C(OCCCCCCCC)=C(C=C(C)S7)C7=C6OCCCCCCCC)S5)S4)N(CC(CCCC)CC)C3=O
62	PDPP-BDP	S28	4.31 	4.31 	0.680 	10.100 	0.627 	47.7 	22.7 	2.10 	965	5.21 	3.63 	1.34 	O=C1N(CC(CC)CCCC)C(C2=CC=C(C)S2)=C3C1=C(C4=CC=C(C5=CC(C(C(CCCCC)CC)=C(C(CCCCC)CC)C6=C7SC(C)=C6)=C7S5)S4)N(CC(CCCC)CC)C3=O
63	P4TDPP	S29	2.43 	2.43 	0.650 	8.050 	0.460 	19.3 	10.1 	1.91 	1104	5.17 	3.62 	1.29 	O=C1N(CC(CC)CCCC)C(C2=CC=C(C)S2)=C3C1=C(C4=CC=C(C5=C(C6=CC=C(C[C@H](CCCC)CC)S6)C=C(C7=CC(C8=CC=C(C[C@@H](CCCC)CC)S8)=C(C)S7)S5)S4)N(CC(CCCC)CC)C3=O
64	P4TBT	S29	1.39 	1.39 	0.900 	4.710 	0.330 	19.7 	12.5 	1.57 	716	5.52 	3.24 	1.88 	CC1=CC=C(C2=C(C3=CC=C(C[C@H](CCCC)CC)S3)C=C(C4=CC(C5=CC=C(CC(CCCC)CC)S5)=C(C)S4)S2)C6=NSN=C16
65	P4TDTBT	S29	1.28 	1.28 	0.570 	6.280 	0.360 	26.2 	10.6 	2.46 	880	5.04 	3.38 	1.60 	CC[C@@H](CCCC)CC(S1)=CC=C1C2=C(C(S3)=CC=C3C4=CC=C(C5=CC=C(C)S5)C6=NSN=C64)SC(C7=CC(C8=CC=C(CC(CCCC)CC)S8)=C(C)S7)=C2
66	P4TPDTQ	S29	1.29 	1.29 	0.690 	5.390 	0.350 	26.6 	13.2 	2.02 	1283	5.28 	3.22 	1.83 	CC[C@@H](CCCC)CC(S1)=CC=C1C2=C(C(S3)=CC=C3C4=CC=C(C5=CC=C(C)S5)C6=C4N=C(C7=CC=C(OCC(CC)CCCC)C=C7)C(C8=CC=C(OCC(CCCC)CC)C=C8)=N6)SC(C9=CC(C%10=CC=C(CC(CCCC)CC)S%10)=C(C)S9)=C2
67	PCTDPP	S30	2.27 	2.27 	0.470 	10.870 	0.450 	38.2 	18.0 	2.12 	953	4.95 	3.31 	1.31 	O=C1N(CC(CC)CCCC)C(C2=CC=C(C)S2)=C3C1=C(C4=CC=C(C5=CC(C(CCCCCCCC)(CCCCCCCC)C6=C7SC(C)=C6)=C7S5)S4)N(CC(CCCC)CC)C3=O
68	PTB1	S31	5.60 	5.60 	0.560 	15.600 	0.630 	22.9 	18.3 	1.20 	824	4.90 	3.20 	1.58 	CC1=CC2=C(C(OCCCCCCCC)=C(C=C(C3=C4C(C=C(C(OCCCCCCCCCCCC)=O)S4)=C(C)S3)S5)C5=C2OCCCCCCCC)S1
69	PBDTTT-C	S32	6.58 	6.58 	0.700 	14.700 	0.640 	30.0 	16.7 	1.80 	738	5.12 	3.55 	1.61 	CC1=CC2=C(C(OCC(CCCC)CC)=C(C=C(C3=C4C(SC(C(C(CC)CCCC)=O)=C4)=C(C)S3)S5)C5=C2OCC(CC)CCCC)S1
70	PDTT	S33	3.64 	3.64 	0.680 	9.850 	0.540 	128.5 	35.7 	3.60 	1089	5.15 	2.95 	1.59 	CC(S1)=CC2=C1C3=C(C(OCC(CCCCCC)CCCCCCCC)=C(C4=C(C=C(C5=C6C(SC(C(CC(CC)CCCC)=O)=C6)=C(C)S5)S4)S7)C7=C3OCC(CCCCCCCC)CCCCCC)S2
71	PBDTDPT1	S34	3.42 	3.42 	0.930 	6.580 	0.560 	157.5 	43.5 	3.62 	1022	5.42 	3.60 	1.84 	CC(S1)=CC2=C1C(OCCCCCCCCCCCC)=C(C=C(C3=C4C(C(N(CC(C#CC#CC#CC#CC#C)CCCCCCCC)C4=O)=O)=C(C)S3)S5)C5=C2OCCCCCCCCCCCC.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH]
72	PBDTDPT2	S34	4.79 	4.79 	0.910 	10.340 	0.510 	600.3 	91.1 	6.59 	910	5.44 	3.58 	1.84 	CC(S1)=CC2=C1C(OCC(CCCC)CC)=C(C=C(C3=C4C(C(N(CC(C#CC#CC#CC#CC#C)CCCCCCCC)C4=O)=O)=C(C)S3)S5)C5=C2OCC(CCCC)CC.[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH].[HH]
73	P1	S35	1.54 	1.44 	0.410 	7.390 	0.480 	89.6 	32.0 	2.80 	882	4.85 	3.35 	1.50 	CC1=C2C(C(N(CCCCCCCCCCCC)C2=O)=O)=C(C3=C(OCCCCCCCCCCCC)C=C(C4=CC(OCCCCCCCCCCCC)=C(C)S4)S3)S1
74	P2	S35	0.64 	0.57 	0.590 	1.590 	0.540 	110.0 	55.0 	2.00 	882	5.05 	3.53 	1.50 	CC1=C2C(C(N(CC(CCCCCC)CCCC)C2=O)=O)=C(C3=C(OCCCCCCCCCCCC)C=C(C4=CC(OCCCCCCCCCCCC)=C(C)S4)S3)S1
75	P3	S35	3.15 	3.06 	0.760 	8.120 	0.500 	300.8 	64.0 	4.70 	749	5.26 	3.59 	1.67 	CC1=C2C(C(N(CCCCCCCCCCCC)C2=O)=O)=C(C3=CC(C(CCCCCCCC)(CCCCCCCC)C4=C5SC(C)=C4)=C5S3)S1
76	PDTSTPD	S36	7.30 	7.30 	0.880 	12.200 	0.680 	44.8 	28.0 	1.60 	709	5.57 	3.88 	1.69 	CC1=C2C(C(N(CCCCCCCC)C2=O)=O)=C(C3=CC([Si](CC(CCCC)CC)(CC(CCCC)CC)C4=C5SC(C)=C4)=C5S3)S1
77	H3	S37	0.25 	0.25 	0.560 	1.160 	0.380 	147.6 	67.1 	2.20 	612	5.07 	3.04 	2.03 	CC(S1)=CC2=C1C(OCCCCCCCCCCCC)=C(C=C(/C=C/C)S3)C3=C2OCCCCCCCCCCCC
78	H6	S37	1.60 	1.60 	0.750 	3.780 	0.560 	84.1 	46.7 	1.80 	668	5.05 	2.99 	2.06 	CC(S1)=CC2=C1C(OCCCCCCCCCCCC)=C(C=C(C3=CC=C(C)S3)S4)C4=C2OCCCCCCCCCCCC
