ID No.	Nickname	Ref. No	PCE_max(%)	PCE_ave(%)	Voc (V)	Jsc (mA cm^2)	FF	Mw (kg mol^-1)	Mn (kg mol^-1)	PDI (=Mw/Mn)	Monomer (g mol^-1)	-HOMO (eV)	-LUMO (eV)	bandgap(eV)	SMILES
635	PBDT-PQD2	S255	3.50 	3.50 	1.080 	7.600 	0.430 	354.2 	98.4 	3.60 	1488	5.96 	3.74 	1.62 	CC(S1)=CC=C1C2=C3C(C(N(CC(CC)CCCC)C3=O)=O)=C(C(S4)=CC=C4C(S5)=CC(C5=C6C7=CC=C(CC(CCCC)CC)S7)=C(C8=CC=C(CC(CC)CCCC)S8)C9=C6C=C(C)S9)C%10=C2N=C(C%11=CC(OCCCCCCCC)=CC=C%11)C(C%12=CC=CC(OCCCCCCCC)=C%12)=N%10
636	PBDT-PQD3	S255	2.90 	2.90 	1.030 	7.300 	0.390 	573.1 	179.1 	3.20 	1356	5.82 	3.72 	1.64 	CC(S1)=CC=C1C2=C3C(C(N(CC(CC)CCCC)C3=O)=O)=C(C(S4)=CC=C4C(S5)=CC(C5=C6OCC(CCCC)CC)=C(OCC(CC)CCCC)C7=C6C=C(C)S7)C8=C2N=C(C9=CC(OCCCCCCCC)=CC=C9)C(C%10=CC=CC(OCCCCCCCC)=C%10)=N8
637	PT-PQD	S255	2.90 	2.90 	1.000 	7.700 	0.380 	132.9 	30.9 	4.30 	993	5.83 	3.83 	1.52 	CC(S1)=CC=C1C2=C3C(C(N(CC(CC)CCCC)C3=O)=O)=C(C(S4)=CC=C4C5=CC=C(C)S5)C6=C2N=C(C7=CC(OCCCCCCCC)=CC=C7)C(C8=CC=CC(OCCCCCCCC)=C8)=N6
638	O-HD	S256	4.10 	4.10 	0.710 	9.400 	0.610 	91.6 	42.8 	2.14 	1189	5.15 	3.28 	1.45 	CC1=CC=C(C(N(CC(CCCCCCCC)CCCCCC)C2=O)=C(C2=C(C(S3)=CC=C3C(S4)=CC(C4=C5CCCCCCCC)=C(CCCCCCCC)C6=C5C=C(C)S6)N7CC(CCCCCC)CCCCCCCC)C7=O)S1
639	BO-BO	S256	0.93 	0.93 	0.590 	3.400 	0.460 	82.3 	33.2 	2.48 	1189	5.14 	3.34 	1.51 	CC1=CC=C(C(N(CC(CCCC)CCCCCC)C2=O)=C(C2=C(C(S3)=CC=C3C(S4)=CC(C4=C5CCC(CCCC)CCCCC)=C(CCC(CCCCC)CCCC)C6=C5C=C(C)S6)N7CC(CCCCCC)CCCC)C7=O)S1
640	PU-O	S256	1.40 	1.40 	0.620 	5.200 	0.430 	54.8 	27.8 	1.97 	1189	5.10 	3.31 	1.36 	CC1=CC=C(C(N(CCCCCCCC)C2=O)=C(C2=C(C(S3)=CC=C3C(S4)=CC(C4=C5CCC(CCCCCCCC)CCCCC)=C(CCC(CCCCC)CCCCCCCC)C6=C5C=C(C)S6)N7CCCCCCCC)C7=O)S1
641	PBDT-DPP (P1)	S257	4.35 	4.35 	0.640 	11.270 	0.602 	130.0 	40.0 	3.40 	1221	5.30 	3.80 	1.50 	CC1=CC=C(C(N(CC(CCCCCC)CCCC)C2=O)=C(C2=C(C(S3)=CC=C3C(S4)=CC(C4=C5OCCCCCCCCCCCC)=C(OCCCCCCCCCCCC)C6=C5C=C(C)S6)N7CC(CCCC)CCCCCC)C7=O)S1
642	PBDT-DPP (P2)	S257	4.43 	4.43 	0.700 	12.100 	0.524 	320.0 	93.0 	3.50 	1189	5.30 	3.80 	1.50 	CC1=CC=C(C(N(CC(CCCCCC)CCCC)C2=O)=C(C2=C(C(S3)=CC=C3C(S4)=CC(C4=C5CCCCCCCCCCCC)=C(CCCCCCCCCCCC)C6=C5C=C(C)S6)N7CC(CCCC)CCCCCC)C7=O)S1
643	PBDT-DPP (P3)	S257	2.69 	2.69 	0.680 	8.750 	0.453 	72.0 	32.0 	2.20 	1189	5.40 	3.90 	1.50 	CC1=CC=C(C(N(CC(CCCCCCCCCCCC)CCCCCCCCCC)C2=O)=C(C2=C(C(S3)=CC=C3C(S4)=CC(C4=C5)=CC6=C5C=C(C)S6)N7CC(CCCCCCCCCCCC)CCCCCCCCCC)C7=O)S1
644	PBDT-DPP (P4)	S257	2.95 	2.95 	0.660 	13.600 	0.329 	730.0 	130.0 	5.50 	1241	5.40 	3.90 	1.50 	CC1=CC=C(C(N(CC(CCCCCC)CCCC)C2=O)=C(C2=C(C(S3)=CC=C3C(S4)=CC(C4=C5C6=CC=C(CC(CC)CCCC)S6)=C(C7=CC=C(CC(CC)CCCC)S7)C8=C5C=C(C)S8)N9CC(CCCC)CCCCCC)C9=O)S1
645	PTIPSBDT?DPP	S258	8.00 	7.92 	0.760 	16.210 	0.650 	190.0 	76.0 	2.50 	1437	5.44 	4.00 	1.44 	CC1=CC=C(C(N(CC(CCCCCCCCCC)CCCCCCCC)C2=O)=C(C2=C(C(S3)=CC=C3C(S4)=CC(C4=C5C#C[Si](C(C)C)(C(C)C)C(C)C)=C(C#C[Si](C(C)C)(C(C)C)C(C)C)C6=C5C=C(C)S6)N7CC(CCCCCCCC)CCCCCCCCCC)C7=O)S1
646	PBDTF-DPP	S259	3.50 	3.50 	0.690 	10.460 	0.489 	141.8 	26.4 	5.37 	1097	5.16 	3.64 	1.44 	CC1=CC=C(C(N(CC(CCCC)CC)C2=O)=C(C2=C(C(S3)=CC=C3C(S4)=CC(C4=C5C6=CC=C(CC(CC)CCCC)O6)=C(C7=CC=C(CC(CC)CCCC)O7)C8=C5C=C(C)S8)N9CC(CC)CCCC)C9=O)S1
647	PBDTF-DPPF	S259	5.10 	5.10 	0.720 	12.640 	0.565 	169.3 	30.5 	5.55 	1065	5.24 	3.74 	1.47 	CC1=CC=C(C(N(CC(CCCC)CC)C2=O)=C(C2=C(C(O3)=CC=C3C(S4)=CC(C4=C5C6=CC=C(CC(CC)CCCC)O6)=C(C7=CC=C(CC(CC)CCCC)O7)C8=C5C=C(C)S8)N9CC(CC)CCCC)C9=O)O1
648	PBDT-DPP	S259	1.00 	1.00 	0.620 	3.870 	0.400 	152.0 	28.9 	5.26 	997	5.05 	3.40 	1.56 	CC1=CC=C(C(N(CC(CCCC)CC)C2=O)=C(C2=C(C(S3)=CC=C3C(S4)=CC(C4=C5OCC(CC)CCCC)=C(OCC(CC)CCCC)C6=C5C=C(C)S6)N7CC(CC)CCCC)C7=O)S1
649	PBDT-DPPF	S259	2.90 	2.90 	0.630 	8.780 	0.533 	154.3 	29.5 	5.23 	965	5.15 	3.44 	1.59 	CC1=CC=C(C(N(CC(CCCC)CC)C2=O)=C(C2=C(C(O3)=CC=C3C(S4)=CC(C4=C5OCC(CC)CCCC)=C(OCC(CC)CCCC)C6=C5C=C(C)S6)N7CC(CC)CCCC)C7=O)O1
650	P1	S260	1.93 	1.93 	0.810 	6.270 	0.369 	58.3 	30.7 	1.90 	1353	5.20 	3.56 	1.64 	CC1=CC2=C(C(C3=CC(C=C(CC(CC)CCCC)C=C4)=C4S3)=C(C=C(C5=CC=C(C6=C(OCC(CC(CC)CCCC)(CC(CCCC)CC)CO7)C7=C(C8=CC=C(C)C9=NSN=C89)S6)C%10=NSN=C5%10)S%11)C%11=C2C%12=CC(C=C(CC(CCCC)CC)C=C%13)=C%13S%12)S1
651	P2	S260	2.60 	2.60 	0.780 	5.150 	0.581 	49.3 	28.3 	1.74 	1453	5.26 	3.89 	1.37 	CC1=CC=C(C(N(CC(CCCCCC)CCCCCCCC)C2=O)=C(C2=C(C(S3)=CC=C3C(S4)=CC(C4=C5C6=CC(C=C(CC(CCCC)CC)C=C7)=C7S6)=C(C8=CC(C=C(CC(CC)CCCC)C=C9)=C9S8)C%10=C5C=C(C)S%10)N%11CC(CCCCCCCC)CCCCCC)C%11=O)S1
652	PBDTBPA(H)-DPP	S261	5.58 	5.58 	0.740 	13.170 	0.570 	71.3 	-	-	1349	5.25 	3.86 	1.39 	CC1=CC=C(C(N(CC(CCCC)CC)C2=O)=C(C2=C(C(S3)=CC=C3C(S4)=CC(C4=C5C#CC6=CC(C7=CC=C(OCC(CCCC)CC)C=C7)=CC=C6)=C(C#CC8=C([H])C(C9=CC=C(OCC(CCCC)CC)C=C9)=CC=C8[H])C%10=C5C=C(C)S%10)N%11CC(CC)CCCC)C%11=O)S1
653	PBDTBPA(F)-DPP	S261	4.04 	4.04 	0.680 	9.890 	0.500 	24.3 	-	-	1421	5.20 	3.91 	1.29 	CC1=CC=C(C(N(CC(CCCC)CC)C2=O)=C(C2=C(C(S3)=CC=C3C(S4)=CC(C4=C5C#CC6=C(F)C(C7=CC=C(OCC(CCCC)CC)C=C7)=CC=C6F)=C(C#CC8=C(F)C(C9=CC=C(OCC(CCCC)CC)C=C9)=CC=C8F)C%10=C5C=C(C)S%10)N%11CC(CC)CCCC)C%11=O)S1
654	PBDTDPPcbp	S262	1.30 	1.20 	0.680 	4.110 	0.448 	72.9 	33.0 	2.21 	1463	5.39 	3.57 	1.82 	CC1=CC=C(C(N(CCCCCCCCCCCCC2=CC=C(C3=CC=C(C#N)C=C3)C=C2)C4=O)=C(C4=C(C(S5)=CC=C5C6=CC(C(OCC(CC)CCCC)=C(SC(C)=C7)C7=C8OCC(CC)CCCC)=C8S6)N9CCCCCCCCCCCCC%10=CC=C(C%11=CC=C(C#N)C=C%11)C=C%10)C9=O)S1
655	PCBTDPPcbp	S262	1.20 	1.10 	0.800 	4.720 	0.319 	70.8 	28.1 	2.52 	1422	5.43 	3.38 	2.05 	CC1=CC=C(C(N(CCCCCCCCCCCCC2=CC=C(C3=CC=C(C#N)C=C3)C=C2)C4=O)=C(C4=C(C(S5)=CC=C5C6=CC7=C(C8=CC=C(C)C=C8N7C(CCCCCCCC)CCCCCCCC)C=C6)N9CCCCCCCCCCCCC%10=CC=C(C%11=CC=C(C#N)C=C%11)C=C%10)C9=O)S1
656	PDPP2TzBDT	S263	3.20 	3.20 	0.980 	6.200 	0.530 	326.3 	85.2 	3.83 	1191	5.51 	3.98 	1.53 	CC1=CN=C(C(N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C2=O)=C3C2=C(C4=NC=C(C5=CC(C=C(SC(C)=C6)C6=C7)=C7S5)S4)N(C[C@H](CCCCCCCCCCCC)CCCCCCCCCC)C3=O)S1
657	PDPP2Tz2T	S263	5.10 	5.10 	0.920 	8.800 	0.630 	196.0 	108.9 	1.80 	1167	5.46 	3.99 	1.47 	CC1=CN=C(C(N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C2=O)=C3C2=C(C4=NC=C(C5=CC=C(C6=CC=C(C)S6)S5)S4)N(C[C@H](CCCCCCCCCCCC)CCCCCCCCCC)C3=O)S1
658	PDPP2TzDTP	S263	5.60 	5.60 	0.690 	14.900 	0.540 	274.4 	88.5 	3.10 	955	5.18 	3.90 	1.28 	CC1=CN=C(C(N(CC(CCCCCC)CCCC)C2=O)=C3C2=C(C4=NC=C(C5=CC(N(CC(CC)CCCC)C6=C7SC(C)=C6)=C7S5)S4)N(C[C@H](CCCCCC)CCCC)C3=O)S1
659	PffBT-T4-2HD	S264	7.20 	7.00 	0.730 	14.800 	0.644 	25.8 	13.9 	1.86 	976	5.21 	3.56 	1.65 	CC1=C(CC(CCCCCC)CCCCCCCC)C=C(C2=C(F)C(F)=C(C3=CC(CC(CCCCCC)CCCCCCCC)=C(C4=CC=C(C5=CC=C(C)S5)S4)S3)C6=NSN=C62)S1
660	"PffBT-T3(1,3)"	S264	3.90 	3.70 	0.770 	10.600 	0.453 	56.0 	37.7 	1.49 	894	5.35 	3.75 	1.60 	CC1=C(CC(CCCCCC)CCCCCCCC)C=C(C2=C(F)C(F)=C(C3=CC(CC(CCCCCC)CCCCCCCC)=C(C4=CC=C(C)S4)S3)C5=NSN=C52)S1
